"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"1103","Bezirk Bucheggberg","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1444,2847,33.65182941,68.236409608,4318,6328,4291
"1104","Bezirk Dorneck","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4381,5322,45.150984232,67.5151766,9787,14496,9703
"1105","Bezirk Gösgen","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3496,5431,39.162092528,56.179283616,8987,15997,8927
"1106","Bezirk Wasseramt","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",7492,11603,39.235401938,57.151785714,19203,33600,19095
"1107","Bezirk Lebern","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6564,10299,38.925458104,56.122010123,16964,30227,16863
"1108","Bezirk Olten","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",8696,10637,44.980085864,56.365214875,19477,34555,19333
"1109","Bezirk Solothurn","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4102,3168,56.423658872,63.220864176,7345,11618,7270
"1110","Bezirk Thierstein","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2554,4131,38.204936425,62.331755314,6715,10773,6685
"1200","Kanton Basel-Stadt","12","Basel-Stadt",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",36810,25920,58.680057389,60.812961639,63808,104925,62730
"9120","BS-Ausland-CH","12","Basel-Stadt",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",1499,968,60.762059181,27.033181522,2493,9222,2467
"1301","Bezirk Arlesheim","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",25521,31859,44.477169746,57.967760281,59119,101986,57380
"1302","Bezirk Laufen","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",3386,4964,40.550898204,61.599423631,8550,13880,8350
